country,country_code,official_student_budget_eur_month,source_url,note
Austria,AT,723,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Belgium,BE,1062,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Bulgaria,BG,400,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Croatia,HR,550,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Czech Republic,CZ,259,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Denmark,DK,994,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Estonia,EE,380,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Finland,FI,800,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
France,FR,615,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Germany,DE,992,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Iceland,IS,1750,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Ireland,IE,833,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Italy,IT,850,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Latvia,LV,740,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Lithuania,LT,519,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Luxembourg,LU,1517,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Netherlands,NL,1250,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Norway,NO,1100,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Portugal,PT,920,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Romania,RO,660,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Slovakia,SK,284,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Slovenia,SI,485,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Spain,ES,600,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Sweden,SE,1009,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Switzerland,CH,1910,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
United Kingdom,GB,1376,,Official national student-budget estimate or study-visa financial-means benchmark (see source).
Albania,AL,1111,https://www.numbeo.com/cost-of-living/,Derived: average of 1 Numbeo city total(s) in this country (no official national benchmark available); indicative.
Greece,GR,1364,https://www.numbeo.com/cost-of-living/,Derived: average of 1 Numbeo city total(s) in this country (no official national benchmark available); indicative.
Hungary,HU,1390,https://www.numbeo.com/cost-of-living/,Derived: average of 1 Numbeo city total(s) in this country (no official national benchmark available); indicative.
Poland,PL,1305,https://www.numbeo.com/cost-of-living/,Derived: average of 8 Numbeo city total(s) in this country (no official national benchmark available); indicative.
Russian Federation,RU,1103,https://www.numbeo.com/cost-of-living/,Derived: average of 5 Numbeo city total(s) in this country (no official national benchmark available); indicative.
Ukraine,UA,634,https://www.numbeo.com/cost-of-living/,Derived: average of 3 Numbeo city total(s) in this country (no official national benchmark available); indicative.
